======================================================================
  META-SENTINEL: optimizing Sentinel's own hyperparameters
======================================================================

[BASELINE] min_r_squared=0.3, learn=False, budget=8s/inner
  [MS Proxy] zenron R2=0.973, linear R2=0.973 -> zenron selected
  [MS Proxy] zenron R2=0.978, linear R2=0.978 -> zenron selected
  [MS Proxy] zenron R2=0.974, linear R2=0.974 -> zenron selected
  [MS Proxy] zenron R2=0.949, linear R2=0.949 -> zenron selected
  [MS Proxy] zenron R2=0.906, linear R2=0.906 -> zenron selected
  [MS Proxy] zenron R2=0.891, linear R2=0.891 -> zenron selected
  [MS Proxy] zenron R2=0.844, linear R2=0.844 -> zenron selected
  [MS Proxy] zenron R2=0.843, linear R2=0.843 -> zenron selected
  [MS Proxy] zenron R2=0.808, linear R2=0.808 -> zenron selected
  [MS Proxy] zenron R2=0.802, linear R2=0.802 -> zenron selected
  [MS Proxy] zenron R2=0.973, linear R2=0.973 -> zenron selected
  [MS Proxy] zenron R2=0.978, linear R2=0.978 -> zenron selected
  [MS Proxy] zenron R2=0.974, linear R2=0.974 -> zenron selected
  [MS Proxy] zenron R2=0.949, linear R2=0.949 -> zenron selected
  [MS Proxy] zenron R2=0.906, linear R2=0.906 -> zenron selected
  [MS Proxy] zenron R2=0.891, linear R2=0.891 -> zenron selected
  [MS Proxy] zenron R2=0.844, linear R2=0.844 -> zenron selected
  [MS Proxy] zenron R2=0.843, linear R2=0.843 -> zenron selected
  [MS Proxy] zenron R2=0.808, linear R2=0.808 -> zenron selected
  [MS Proxy] zenron R2=0.802, linear R2=0.802 -> zenron selected
  [MS Proxy] zenron R2=0.973, linear R2=0.973 -> zenron selected
  [MS Proxy] zenron R2=0.978, linear R2=0.978 -> zenron selected
  [MS Proxy] zenron R2=0.974, linear R2=0.974 -> zenron selected
  [MS Proxy] zenron R2=0.949, linear R2=0.949 -> zenron selected
  [MS Proxy] zenron R2=0.906, linear R2=0.906 -> zenron selected
  [MS Proxy] zenron R2=0.891, linear R2=0.891 -> zenron selected
  [MS Proxy] zenron R2=0.844, linear R2=0.844 -> zenron selected
  [MS Proxy] zenron R2=0.843, linear R2=0.843 -> zenron selected
  [MS Proxy] zenron R2=0.808, linear R2=0.808 -> zenron selected
  [MS Proxy] zenron R2=0.802, linear R2=0.802 -> zenron selected
  baseline inner scores (3 runs): [97.54, 97.12, 97.74]
  baseline mean: 97.47  (elapsed 98s)

[OUTER SEARCH] Sentinel searching (min_r_squared, learn) space
  [MS Proxy] zenron R2=0.973, linear R2=0.973 -> zenron selected
  [MS Proxy] zenron R2=0.978, linear R2=0.978 -> zenron selected
  [MS Proxy] zenron R2=0.974, linear R2=0.974 -> zenron selected
  [MS Proxy] zenron R2=0.949, linear R2=0.949 -> zenron selected
  [MS Proxy] zenron R2=0.906, linear R2=0.906 -> zenron selected
  [MS Proxy] zenron R2=0.891, linear R2=0.891 -> zenron selected
  [MS Proxy] zenron R2=0.844, linear R2=0.844 -> zenron selected
  [MS Proxy] zenron R2=0.843, linear R2=0.843 -> zenron selected
  [MS Proxy] zenron R2=0.808, linear R2=0.808 -> zenron selected
  [MS Proxy] zenron R2=0.802, linear R2=0.802 -> zenron selected
  [MS Proxy] zenron R2=0.973, linear R2=0.973 -> zenron selected
  [MS Proxy] zenron R2=0.978, linear R2=0.978 -> zenron selected
  [MS Proxy] zenron R2=0.974, linear R2=0.974 -> zenron selected
  [MS Proxy] zenron R2=0.949, linear R2=0.949 -> zenron selected
  [MS Proxy] zenron R2=0.906, linear R2=0.906 -> zenron selected
  [MS Proxy] zenron R2=0.891, linear R2=0.891 -> zenron selected
  [MS Proxy] zenron R2=0.844, linear R2=0.844 -> zenron selected
  [MS Proxy] zenron R2=0.843, linear R2=0.843 -> zenron selected
  [MS Proxy] zenron R2=0.808, linear R2=0.808 -> zenron selected
  [MS Proxy] zenron R2=0.802, linear R2=0.802 -> zenron selected
  [MS Proxy] zenron R2=0.973, linear R2=0.973 -> zenron selected
  [MS Proxy] zenron R2=0.978, linear R2=0.978 -> zenron selected
  [MS Proxy] zenron R2=0.974, linear R2=0.974 -> zenron selected
  [MS Proxy] zenron R2=0.949, linear R2=0.949 -> zenron selected
  [MS Proxy] zenron R2=0.906, linear R2=0.906 -> zenron selected
  [MS Proxy] zenron R2=0.891, linear R2=0.891 -> zenron selected
  [MS Proxy] zenron R2=0.844, linear R2=0.844 -> zenron selected
  [MS Proxy] zenron R2=0.843, linear R2=0.843 -> zenron selected
